72 196
28 5 2078669041
72 56 854716505
18 15 192302371
6 3 1738531149
53 24 1882556969
42 41 2075782095
44 42 1931656580
58 1 2064876628
24 19 1947433875
72 38 890442452
71 35 849178936
20 16 1168816941
71 6 1308858262
5 4 1814467857
15 8 153892771
47 2 1675824860
16 2 1324346645
54 13 674592135
69 20 1951824771
52 15 352020689
10 4 978785428
49 35 374787159
24 7 1082682476
53 3 1447645967
42 26 1788215331
20 10 355190910
10 7 243877847
4 1 1444510476
14 8 324062450
16 15 1273555394
46 14 425095546
43 8 206008598
60 49 268625699
31 10 2037666653
19 11 1181057508
55 53 999647265
61 26 442770701
66 1 1298302928
24 16 524054552
44 36 372915282
42 18 844776180
35 10 1617261148
55 7 1779057140
63 60 316870078
21 9 1682841092
33 12 20204387
12 4 1634860762
19 7 1202416766
38 17 1957310938
71 69 2110072011
3 1 477198999
23 12 651791047
37 4 506843774
8 1 2112721283
30 1 1807338529
52 23 224840443
15 4 383910756
31 8 708625565
71 2 1518866227
31 14 1578586308
44 4 73452005
43 18 1229515992
61 57 147380597
18 2 2102786807
49 7 1753515374
59 7 1329391778
56 52 403414085
62 11 78366493
65 41 1578699380
32 15 377940385
45 15 374559665
25 16 847330980
53 41 835716556
3 2 552976400
59 16 1758889094
42 14 303423551
40 36 1951015512
53 20 334783765
65 38 645800207
27 18 2134550910
64 60 1956712010
64 34 17494750
56 4 1056297589
44 32 291321225
45 44 1370119631
24 12 444221348
69 26 2056033720
46 42 305935522
67 43 459226911
17 3 776787693
52 20 2070295604
30 19 520973359
20 8 1579724232
71 39 1280452098
30 17 250082193
54 31 652928032
27 4 274822821
29 28 878390313
56 55 446960277
20 12 101672053
12 9 2060554767
11 3 1148205443
30 21 1262054400
60 59 1057228853
38 29 361411483
64 55 1919166746
40 21 1601273422
9 5 311894124
42 13 108649296
48 26 462789817
23 2 359319148
20 9 1697016393
7 5 422876035
38 27 802191575
49 25 1266870979
18 1 1766686933
71 11 2018180155
23 18 449167912
54 17 228029814
14 6 1586874870
47 19 831588781
15 11 15216206
66 8 773186835
72 17 1340842511
50 11 666146107
43 23 2075554490
50 29 85393440
26 25 1333622991
8 4 320098006
19 8 1857595773
72 2 1546558999
60 47 699538013
19 13 1366056636
40 20 149781597
34 28 1255319151
21 8 2058790459
57 42 692117792
28 10 871317173
24 10 88814034
46 34 1577648274
62 44 1813394111
8 3 1831096349
54 9 125330894
66 53 1360776911
60 28 1472396366
47 42 1619198946
17 9 1512509068
35 25 1305711852
55 49 2134664591
38 31 594187515
34 32 413030420
45 33 305688527
65 35 272931898
35 24 2011177999
57 29 978653651
33 11 1572501252
71 5 1621567844
20 7 1478216375
6 5 706777854
68 45 1897416803
46 44 1840599019
68 20 902659129
45 7 2013697848
40 13 465741119
26 11 674523589
71 13 1273898355
59 5 970386683
11 1 2120376465
54 10 1033984573
60 10 1785778226
21 13 1555243200
37 7 477166350
34 30 1594083231
55 38 117375378
67 40 773989025
5 1 1440613698
54 20 1177378828
26 23 1424571833
64 16 507578037
13 2 2044083804
35 21 48400057
32 30 804150002
15 13 1650785166
14 7 844918956
66 29 1015056911
28 19 2094441447
35 6 1800090502
18 4 396937661
48 10 1269059734
37 10 739441405
7 2 808145125
52 39 844648878
72 10 781112367
24 2 2021007630
60 52 1432113839
72 41 707687267
